,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
94,Jodaeiye Nader az Simin,2011,123,8.3,95,"226,824",$7.10M
95,Incendies,2010,131,8.3,80,"157,472",$6.86M
96,The Father,I 2020,97,8.3,88,"77,742",^^
97,Babam ve Oglum,2005,112,8.3,^^,"81,542",^^
98,Inglourious Basterds,2009,153,8.3,69,"1,309,165",$120.54M
99,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,"934,037",$34.40M
100,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,"716,940",$33.23M
101,Snatch,2000,104,8.3,55,"799,570",$30.33M
102,Requiem for a Dream,2000,102,8.3,68,"784,806",$3.64M
103,American Beauty,1999,122,8.3,84,"1,090,714",$130.10M
104,Good Will Hunting,1997,126,8.3,70,"886,365",$138.43M
105,Bacheha-Ye aseman,1997,89,8.3,77,"68,162",$0.93M
106,Toy Story,1995,81,8.3,95,"911,513",$191.80M
107,Braveheart,1995,178,8.3,68,"977,717",$75.60M
108,Reservoir Dogs,1992,99,8.3,79,"941,984",$2.83M
109,Full Metal Jacket,1987,116,8.3,76,"690,359",$46.36M
110,Idi i smotri,1985,142,8.3,^^,"64,454",^^
111,Aliens,1986,137,8.3,84,"667,154",$85.16M
112,Amadeus,1984,160,8.3,88,"377,058",$51.97M
113,Scarface,1983,170,8.3,65,"765,232",$45.60M
114,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,"971,827",$309.13M
115,Das Boot,1981,149,8.3,86,"236,906",$11.49M
116,Taxi Driver,1976,114,8.3,94,"747,476",$28.26M
117,The Sting,1973,129,8.3,83,"246,956",$159.60M
118,A Clockwork Orange,1971,136,8.3,77,"774,157",$6.21M
119,Anand,1971,122,8.3,^^,"32,068",^^
120,2001: A Space Odyssey,1968,149,8.3,84,"618,650",$56.95M
121,To Kill a Mockingbird,1962,129,8.3,88,"299,100",^^
122,Lawrence of Arabia,1962,228,8.3,100,"274,198",$44.82M
123,The Apartment,1960,125,8.3,94,"168,709",$18.60M
124,North by Northwest,1959,136,8.3,98,"305,908",$13.28M
125,Vertigo,1958,128,8.3,100,"373,979",$3.20M
126,Singin' in the Rain,1952,103,8.3,99,"224,622",$8.82M
127,Ikiru,1952,143,8.3,^^,"71,262",$0.06M
128,Ladri di biciclette,1948,89,8.3,^^,"151,148",$0.33M
129,Double Indemnity,1944,107,8.3,95,"147,061",$5.72M
130,Citizen Kane,1941,119,8.3,100,"414,951",$1.59M
131,M - Eine Stadt sucht einen Mörder,1931,117,8.3,^^,"147,345",$0.03M
132,Metropolis,1927,153,8.3,98,"163,664",$1.24M
133,The Kid,1921,68,8.3,^^,"117,246",$5.45M
134,Uri: The Surgical Strike,2018,138,8.2,^^,"46,539",$4.19M
135,Andhadhun,2018,139,8.2,^^,"78,903",$1.37M
136,Green Book,2018,130,8.2,69,"412,138",$85.08M
