,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of Movies,Votes,Gross
420,Tenkû no shiro Rapyuta,1986,125,8,78,"154,489",^^
421,The Terminator,1984,107,8,84,"811,096",$38.40M
422,Pink Floyd: The Wall,1982,95,8,47,"77,468",$22.24M
423,Gandhi,1982,191,8,79,"220,415",$52.77M
424,Kagemusha,1980,180,8,84,"33,176",^^
425,Being There,1979,130,8,83,"67,304",$30.18M
426,Annie Hall,1977,93,8,92,"255,316",$39.20M
427,All the President's Men,1976,138,8,84,"106,242",$70.60M
428,Jaws,1975,124,8,87,"554,853",$260.00M
429,Dog Day Afternoon,1975,125,8,86,"240,972",$50.00M
430,Young Frankenstein,1974,106,8,80,"146,345",$86.30M
431,Papillon,1973,151,8,58,"124,405",$53.27M
432,The Exorcist,1973,122,8,81,"369,549",$232.91M
433,Sleuth,1972,138,8,^^,"45,472",$4.08M
434,The Last Picture Show,1971,118,8,93,"43,935",$29.13M
435,Fiddler on the Roof,1971,181,8,67,"40,515",$80.50M
436,Il conformista,1970,113,8,100,"28,140",$0.54M
437,Butch Cassidy and the Sundance Kid,1969,110,8,66,"205,000",$102.31M
438,Rosemary's Baby,1968,137,8,96,"199,920",^^
439,Planet of the Apes,1968,112,8,79,"168,333",$33.40M
440,The Graduate,1967,106,8,83,"258,014",$104.95M
441,Who's Afraid of Virginia Woolf?,1966,131,8,75,"70,376",^^
442,The Sound of Music,1965,172,8,63,"211,846",$163.21M
443,Doctor Zhivago,1965,197,8,69,"71,517",$111.72M
444,Per un pugno di dollari,1964,99,8,65,"202,653",$14.50M
445,8½,1963,138,8,91,"111,488",$0.05M
446,Vivre sa vie: Film en douze tableaux,1962,80,8,^^,"29,257",^^
447,The Hustler,1961,134,8,90,"76,502",$8.28M
448,La dolce vita,1960,174,8,95,"68,492",$19.52M
449,Rio Bravo,1959,141,8,93,"57,834",$12.54M
450,Anatomy of a Murder,1959,161,8,95,"61,532",$11.90M
451,Touch of Evil,1958,95,8,99,"100,000",$2.24M
452,Cat on a Hot Tin Roof,1958,108,8,84,"46,461",$17.57M
453,Sweet Smell of Success,1957,96,8,100,"29,126",^^
454,The Killing,1956,84,8,91,"83,570",^^
455,The Night of the Hunter,1955,92,8,99,"83,947",$0.65M
456,La Strada,1954,108,8,^^,"59,577",^^
457,Stalag 17,1953,120,8,84,"51,738",^^
458,Roman Holiday,1953,118,8,78,"130,098",^^
459,High Noon,1952,85,8,89,"99,122",$9.45M
460,A Streetcar Named Desire,1951,122,8,97,"101,124",$8.00M
461,Strangers on a Train,1951,101,8,88,"125,685",$7.63M
462,In a Lonely Place,1950,94,8,^^,"28,011",^^
463,Kind Hearts and Coronets,1949,106,8,^^,"35,192",^^
464,Rope,1948,80,8,73,"133,262",^^
465,Out of the Past,1947,97,8,^^,"33,811",^^
466,Notorious,1946,102,8,100,"94,192",$10.46M
467,Brief Encounter,1945,86,8,92,"36,996",^^
468,Laura,1944,88,8,^^,"43,760",$4.36M
469,Arsenic and Old Lace,1943,118,8,^^,"66,194",^^
470,The Maltese Falcon,1941,100,8,96,"151,286",$2.11M
471,The Wizard of Oz,1939,102,8,92,"375,902",$2.08M
472,La règle du jeu,1939,110,8,^^,"27,297",^^
473,The Thin Man,1934,91,8,86,"27,401",^^
474,Bronenosets Potemkin,1925,75,8,97,"54,338",$0.05M
475,Knives Out,2019,130,7.9,82,"503,269",$165.36M
476,Manbiki kazoku,2018,121,7.9,93,"67,378",$3.31M
477,Marriage Story,2019,137,7.9,94,"263,727",$2.00M
478,Call Me by Your Name,2017,132,7.9,93,"227,643",$18.10M
479,"I, Daniel Blake",2016,100,7.9,78,"56,012",$0.26M
480,Isle of Dogs,2018,101,7.9,82,"146,824",$32.02M
481,Hunt for the Wilderpeople,2016,101,7.9,81,"117,280",$5.20M
482,M.S. Dhoni: The Untold Story,2016,184,7.9,^^,"44,288",$1.78M
483,Captain Fantastic,2016,118,7.9,72,"200,556",$5.88M
484,Sing Street,2016,106,7.9,79,"87,596",$3.24M
485,Thor: Ragnarok,2017,130,7.9,74,"625,088",$315.06M
486,Jojo Rabbit,2019,108,7.9,58,"326,587",$0.35M
487,Arrival,II 2016,116,7.9,81,"619,752",$100.55M
488,Before Midnight,2013,109,7.9,94,"146,099",$8.11M
489,X-Men: Days of Future Past,2014,132,7.9,75,"672,285",$233.92M
490,Bir Zamanlar Anadolu'da,2011,157,7.9,82,"43,637",$0.14M
491,Bohemian Rhapsody,2018,134,7.9,49,"475,159",$216.43M
492,The Perks of Being a Wallflower,2012,103,7.9,67,"474,641",$17.74M
493,The Artist,I 2011,100,7.9,89,"233,863",$44.67M
494,Edge of Tomorrow,2014,113,7.9,71,"618,743",$100.21M
495,Amour,2012,127,7.9,94,"95,245",$6.74M
496,Un prophète,2009,155,7.9,90,"95,191",$2.08M
497,Låt den rätte komma in,2008,114,7.9,82,"208,259",$2.12M
498,District 9,2009,112,7.9,81,"647,640",$115.65M
499,The Wrestler,2008,109,7.9,80,"293,478",$26.24M
500,Jab We Met,2007,138,7.9,^^,"49,275",$0.41M
501,Boyhood,I 2014,165,7.9,100,"341,194",$25.38M
502,"4 luni, 3 saptamâni si 2 zile",2007,113,7.9,97,"57,688",$1.19M
503,Star Trek,2009,127,7.9,82,"584,033",$257.73M
504,In Bruges,2008,107,7.9,67,"397,685",$7.76M
505,The Man from Earth,2007,87,7.9,^^,"177,884",^^
506,Letters from Iwo Jima,2006,141,7.9,89,"156,125",$13.76M
507,The Fall,2006,117,7.9,64,"108,616",$2.28M
508,Life of Pi,2012,127,7.9,79,"593,057",$124.99M
509,Fantastic Mr. Fox,2009,87,7.9,83,"207,989",$21.00M
510,C.R.A.Z.Y.,2005,129,7.9,81,"31,732",^^
511,Les choristes,2004,97,7.9,56,"58,785",$3.64M
512,Iron Man,2008,126,7.9,79,"966,980",$318.41M
513,Shaun of the Dead,2004,99,7.9,76,"523,996",$13.54M
514,Kal Ho Naa Ho,2003,186,7.9,54,"65,267",$1.79M
515,Gegen die Wand,2004,121,7.9,78,"52,186",^^
516,Mystic River,2003,138,7.9,84,"429,449",$90.14M
517,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,82,"569,268",$249.36M
518,Ying xiong,2002,120,7.9,85,"175,840",$53.71M
519,Hable con ella,2002,112,7.9,86,"106,211",$9.28M
520,No Man's Land,I 2001,98,7.9,84,"45,405",$1.06M
521,Cowboy Bebop: Tengoku no tobira,2001,115,7.9,61,"44,118",$1.00M
522,The Bourne Identity,2002,119,7.9,68,"518,535",$121.66M
523,Nueve reinas,2000,114,7.9,80,"50,710",$1.22M
524,Children of Men,2006,109,7.9,84,"473,849",$35.55M
525,Todo sobre mi madre,1999,101,7.9,87,"91,392",$8.26M
526,Almost Famous,2000,122,7.9,90,"259,800",$32.53M
527,Mulholland Dr.,2001,147,7.9,85,"330,927",$7.22M
528,Shrek,2001,90,7.9,84,"629,361",$267.67M
529,Toy Story 2,1999,92,7.9,88,"539,269",$245.85M
530,Knockin' on Heaven's Door,1997,87,7.9,^^,"28,369",$0.00M
531,Boogie Nights,1997,155,7.9,85,"245,530",$26.40M
532,Mimi wo sumaseba,1995,111,7.9,75,"55,182",^^
533,Once Were Warriors,1994,102,7.9,77,"32,176",$2.20M
534,True Romance,1993,119,7.9,59,"211,937",$12.28M
535,Trois couleurs: Bleu,1993,94,7.9,85,"93,177",$1.32M
536,Jûbê ninpûchô,1993,94,7.9,^^,"35,354",^^
537,Carlito's Way,1993,144,7.9,65,"205,582",$36.95M
538,Edward Scissorhands,1990,105,7.9,74,"455,509",$56.36M
539,My Left Foot: The Story of Christy Brown,1989,103,7.9,97,"70,067",$14.74M
540,Majo no takkyûbin,1989,103,7.9,83,"129,810",^^
541,Crimes and Misdemeanors,1989,104,7.9,77,"55,702",$18.25M
542,The Untouchables,1987,119,7.9,79,"289,191",$76.27M
543,Hannah and Her Sisters,1986,107,7.9,90,"68,461",$40.08M
544,Brazil,1985,132,7.9,84,"191,182",$9.93M
545,This Is Spinal Tap,1984,82,7.9,92,"131,659",$0.19M
546,A Christmas Story,1983,93,7.9,77,"134,160",$20.61M
547,The Blues Brothers,1980,133,7.9,60,"187,488",$57.23M
548,Manhattan,1979,96,7.9,83,"133,545",$45.70M
549,All That Jazz,1979,123,7.9,72,"29,046",$37.82M
550,Dawn of the Dead,1978,127,7.9,71,"113,847",$5.10M
551,La montaña sagrada,1973,114,7.9,76,"38,902",$0.06M
552,Amarcord,1973,123,7.9,^^,"40,886",$0.58M
553,Le charme discret de la bourgeoisie,1972,102,7.9,93,"39,972",$0.20M
554,"Aguirre, der Zorn Gottes",1972,95,7.9,^^,"53,698",^^
555,Harold and Maude,1971,91,7.9,62,"72,325",^^
556,Patton,1970,172,7.9,91,"95,390",$61.70M
557,The Wild Bunch,1969,145,7.9,97,"78,967",$12.06M
558,Night of the Living Dead,1968,96,7.9,89,"119,546",$0.09M
559,The Lion in Winter,1968,134,7.9,^^,"29,583",$22.28M
560,In the Heat of the Night,1967,110,7.9,75,"69,554",$24.38M
561,Charade,1963,113,7.9,83,"71,387",$13.47M
562,The Manchurian Candidate,1962,126,7.9,94,"72,377",^^
563,Spartacus,1960,197,7.9,87,"126,643",$30.00M
564,L'avventura,1960,144,7.9,^^,"27,420",^^
565,Hiroshima mon amour,1959,90,7.9,^^,"29,414",$0.09M
566,The Ten Commandments,1956,220,7.9,^^,"66,060",$93.74M
567,The Searchers,1956,119,7.9,94,"82,402",^^
568,East of Eden,1955,118,7.9,72,"41,499",^^
569,Harvey,1950,104,7.9,^^,"53,217",^^
570,Miracle on 34th Street,1947,96,7.9,88,"42,171",$2.65M
571,The Big Sleep,1946,114,7.9,^^,"79,998",$6.54M
572,The Lost Weekend,1945,101,7.9,^^,"34,393",$9.46M
573,The Philadelphia Story,1940,112,7.9,96,"64,957",^^
574,His Girl Friday,1940,92,7.9,^^,"54,924",$0.30M
575,Stagecoach,1939,96,7.9,93,"45,130",^^
576,Bringing Up Baby,1938,102,7.9,91,"56,466",^^
577,The Adventures of Robin Hood,1938,102,7.9,97,"48,086",$3.98M
578,A Night at the Opera,1935,96,7.9,^^,"31,164",$2.54M
579,King Kong,1933,100,7.9,90,"80,986",$10.00M
580,Freaks,1932,64,7.9,80,"42,959",^^
581,Nosferatu,1922,94,7.9,^^,"90,516",^^
582,The Gentlemen,2019,113,7.8,51,"270,757",^^
583,Raazi,2018,138,7.8,^^,"26,789",^^
584,Sound of Metal,2019,120,7.8,82,"96,197",^^
585,Forushande,2016,124,7.8,85,"53,558",$2.40M
586,Dunkirk,2017,106,7.8,94,"580,741",$188.37M
587,Perfetti sconosciuti,2016,96,7.8,^^,"59,481",^^
588,Hidden Figures,2016,127,7.8,74,"208,599",$169.61M
589,Paddington 2,2017,103,7.8,88,"65,841",$40.44M
590,Udta Punjab,2016,148,7.8,^^,"28,169",^^
591,Kubo and the Two Strings,2016,101,7.8,84,"121,131",$48.02M
592,Manchester by the Sea,2016,137,7.8,96,"256,459",$47.70M
593,Under sandet,2015,100,7.8,75,"37,455",$0.44M
594,Rogue One,2016,133,7.8,65,"571,504",$532.18M
595,Captain America: Civil War,2016,147,7.8,75,"692,513",$408.08M
596,The Hateful Eight,2015,168,7.8,68,"537,739",$54.12M
597,Little Women,2019,135,7.8,91,"157,791",$108.10M
598,Loving Vincent,2017,94,7.8,62,"52,881",$6.74M
599,Pride,I 2014,119,7.8,79,"53,371",^^
600,Nightcrawler,2014,117,7.8,76,"485,023",$32.38M
601,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,80,"875,403",$936.66M
602,La grande bellezza,2013,141,7.8,86,"83,187",$2.85M
603,The Lunchbox,2013,104,7.8,76,"52,398",$4.23M
604,Vicky Donor,2012,126,7.8,^^,"40,747",$0.17M
605,Big Hero 6,2014,102,7.8,74,"422,460",$222.53M
606,Kai po che!,2013,130,7.8,40,"34,260",$1.12M
607,About Time,I 2013,123,7.8,55,"316,350",$15.32M
608,English Vinglish,2012,134,7.8,^^,"34,407",$1.67M
609,Kaze tachinu,2013,126,7.8,83,"77,100",$5.21M
610,La migliore offerta,2013,131,7.8,49,"111,664",$0.09M
611,Moonrise Kingdom,2012,94,7.8,84,"327,014",$45.51M
612,How to Train Your Dragon 2,2014,102,7.8,76,"312,624",$177.00M
613,The Big Short,2015,130,7.8,81,"380,317",$70.26M
614,Ang-ma-reul bo-at-da,2010,144,7.8,67,"116,526",$0.13M
615,The Girl with the Dragon Tattoo,2011,158,7.8,71,"434,026",$102.52M
616,Captain Phillips,2013,134,7.8,82,"431,727",$107.10M
617,Ajeossi,2010,119,7.8,^^,"64,997",$0.01M
618,Straight Outta Compton,2015,147,7.8,72,"185,040",$161.20M
619,The Irishman,2019,209,7.8,94,"342,845",$7.00M
620,Madeo,2009,129,7.8,79,"56,310",$0.55M
621,Chugyeokja,2008,125,7.8,64,"60,684",^^
622,Moon,2009,97,7.8,67,"341,515",$5.01M
623,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,"613,817",$258.37M
624,Das weiße Band - Eine deutsche Kindergeschichte,2009,144,7.8,82,"70,031",$2.22M
625,Män som hatar kvinnor,2009,152,7.8,76,"211,074",$10.10M
626,The Trial of the Chicago 7,2020,129,7.8,76,"150,975",^^
627,Druk,2020,117,7.8,79,"90,050",^^
628,The Fighter,I 2010,116,7.8,79,"347,463",$93.62M
629,Taken,I 2008,90,7.8,51,"574,303",$145.00M
630,The Boy in the Striped Pyjamas,2008,94,7.8,55,"196,200",$9.03M
631,Once,I 2007,86,7.8,88,"112,194",$9.44M
632,The Hobbit: An Unexpected Journey,2012,169,7.8,58,"771,595",$303.00M
633,Auf der anderen Seite,2007,122,7.8,85,"31,197",$0.74M
634,Atonement,2007,123,7.8,85,"258,570",$50.93M
635,Drive,I 2011,100,7.8,78,"586,448",$35.06M
636,American Gangster,2007,157,7.8,76,"400,999",$130.16M
637,Avatar,2009,162,7.8,83,"1,142,640",$760.51M
638,Mr. Nobody,2009,141,7.8,63,"221,299",$0.00M
639,Apocalypto,2006,139,7.8,68,"296,337",$50.87M
640,Little Miss Sunshine,2006,101,7.8,80,"449,273",$59.89M
641,Hot Fuzz,2007,121,7.8,81,"475,380",$23.64M
642,The Curious Case of Benjamin Button,2008,166,7.8,70,"604,823",$127.51M
643,Veer-Zaara,2004,192,7.8,67,"50,296",$2.92M
644,Adams æbler,2005,94,7.8,51,"47,277",$0.00M
645,Pride & Prejudice,2005,129,7.8,82,"268,458",$38.41M
646,The World's Fastest Indian,2005,127,7.8,68,"52,799",$5.13M
647,Tôkyô goddofâzâzu,2003,90,7.8,73,"33,333",$0.13M
648,Serenity,2005,119,7.8,74,"286,802",$25.51M
649,Walk the Line,2005,136,7.8,72,"238,418",$119.52M
650,Ondskan,2003,113,7.8,61,"36,229",$0.02M
651,The Notebook,2004,123,7.8,53,"533,538",$81.00M
652,Diarios de motocicleta,2004,126,7.8,75,"98,210",$16.76M
653,Lilja 4-ever,2002,109,7.8,82,"43,483",$0.18M
654,Les triplettes de Belleville,2003,80,7.8,91,"51,342",$7.00M
655,Gongdong gyeongbi guyeok JSA,2000,110,7.8,58,"27,593",^^
656,Waking Life,2001,99,7.8,83,"61,665",$2.89M
657,Remember the Titans,2000,113,7.8,48,"202,120",$115.65M
658,Wo hu cang long,2000,120,7.8,94,"257,633",$128.08M
659,Cast Away,2000,143,7.8,73,"541,419",$233.63M
660,The Boondock Saints,1999,108,7.8,44,"230,280",$0.03M
661,The Insider,1999,157,7.8,84,"162,684",$28.97M
662,October Sky,1999,108,7.8,71,"85,276",$32.48M
663,Titanic,1997,194,7.8,75,"1,077,748",$659.33M
664,Ta'm e guilass,1997,95,7.8,80,"25,962",$0.31M
665,Hana-bi,1997,103,7.8,^^,"28,564",$0.23M
666,Gattaca,1997,106,7.8,64,"286,446",$12.34M
667,The Game,1997,129,7.8,61,"360,275",$48.32M
668,Breaking the Waves,1996,159,7.8,76,"63,730",$4.04M
669,Ed Wood,1994,127,7.8,70,"167,454",$5.89M
670,Tombstone,1993,130,7.8,50,"131,913",$56.51M
671,The Sandlot,1993,101,7.8,55,"82,088",$32.42M
672,The Remains of the Day,1993,134,7.8,86,"68,629",$22.95M
673,Naked,1993,132,7.8,84,"35,972",$1.77M
674,The Fugitive,1993,130,7.8,87,"274,335",$183.88M
675,A Bronx Tale,1993,121,7.8,80,"131,593",$17.27M
676,Batman: Mask of the Phantasm,1993,76,7.8,^^,"45,343",$5.62M
677,Lat sau san taam,1992,128,7.8,^^,"47,643",^^
678,La double vie de Véronique,1991,98,7.8,86,"44,148",$2.00M
679,Boyz n the Hood,1991,112,7.8,76,"130,102",$57.50M
680,Misery,1990,107,7.8,75,"190,459",$61.28M
681,Awakenings,1990,121,7.8,74,"130,122",$52.10M
682,Glory,1989,122,7.8,78,"126,317",$26.83M
683,Dip huet seung hung,1989,111,7.8,82,"46,319",^^
684,Back to the Future Part II,1989,108,7.8,57,"493,789",$118.50M
685,Mississippi Burning,1988,128,7.8,65,"91,229",$34.60M
686,Predator,1987,107,7.8,45,"380,765",$59.74M
687,Ferris Bueller's Day Off,1986,103,7.8,61,"329,323",$70.14M
688,The Goonies,1985,114,7.8,62,"251,155",$61.50M
689,The Color Purple,1985,154,7.8,78,"80,859",$98.47M
690,The Breakfast Club,1985,97,7.8,66,"366,570",$45.88M
691,The Killing Fields,1984,141,7.8,76,"52,726",$34.70M
692,Ghostbusters,1984,105,7.8,71,"364,618",$238.63M
693,The Right Stuff,1983,193,7.8,91,"57,226",$21.50M
694,The King of Comedy,1982,109,7.8,73,"93,980",$2.50M
695,E.T. the Extra-Terrestrial,1982,115,7.8,91,"380,744",$435.11M
696,Kramer vs. Kramer,1979,105,7.8,77,"137,044",$106.26M
697,Days of Heaven,1978,94,7.8,93,"54,432",^^
698,The Outlaw Josey Wales,1976,135,7.8,69,"67,877",$31.80M
699,The Man Who Would Be King,1975,129,7.8,91,"46,135",^^
700,The Conversation,1974,113,7.8,85,"102,342",$4.42M
701,La planète sauvage,1973,72,7.8,73,"27,132",$0.19M
702,The Day of the Jackal,1973,143,7.8,80,"38,402",$16.06M
703,Badlands,1973,94,7.8,93,"68,228",^^
704,Cabaret,1972,124,7.8,80,"49,533",$42.77M
705,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,"183,620",$4.00M
706,Midnight Cowboy,1969,113,7.8,79,"103,446",$44.79M
707,Wait Until Dark,1967,108,7.8,81,"28,451",$17.55M
708,Guess Who's Coming to Dinner,1967,108,7.8,63,"40,940",$56.70M
709,Bonnie and Clyde,1967,111,7.8,86,"105,020",^^
710,My Fair Lady,1964,170,7.8,95,"89,007",$72.00M
711,Mary Poppins,1964,139,7.8,88,"161,325",$102.27M
712,The Longest Day,1962,178,7.8,75,"53,011",$39.10M
713,Jules et Jim,1962,105,7.8,97,"38,748",^^
714,The Innocents,1961,100,7.8,88,"27,855",$2.62M
715,À bout de souffle,1960,90,7.8,^^,"75,328",$0.34M
716,The Quiet Man,1952,129,7.8,^^,"35,886",$10.55M
717,The African Queen,1951,105,7.8,91,"73,029",$0.54M
718,Red River,1948,133,7.8,^^,"28,934",^^
719,Key Largo,1948,100,7.8,^^,"37,829",^^
720,To Have and Have Not,1944,100,7.8,90,"31,881",^^
721,Gaslight,1944,114,7.8,^^,"25,659",^^
722,Shadow of a Doubt,1943,108,7.8,94,"61,180",^^
723,The Lady Vanishes,1938,96,7.8,98,"48,827",^^
724,Bride of Frankenstein,1935,75,7.8,95,"44,416",$4.36M
725,Duck Soup,1933,69,7.8,93,"56,451",^^
726,Scarface,1932,93,7.8,87,"26,055",^^
727,Frankenstein,1931,70,7.8,91,"66,819",^^
728,The Mitchells vs the Machines,2021,113,7.7,80,"65,542",^^
729,Roma,2018,135,7.7,96,"145,648",^^
730,God's Own Country,2017,104,7.7,85,"26,939",$0.34M
731,Deadpool 2,2018,119,7.7,66,"504,211",$324.59M
732,Wind River,2017,107,7.7,73,"216,896",$33.80M
733,Get Out,I 2017,104,7.7,85,"515,762",$176.04M
734,Mission: Impossible - Fallout,2018,147,7.7,86,"302,394",$220.16M
735,En man som heter Ove,2015,116,7.7,70,"49,724",$3.36M
736,What We Do in the Shadows,2014,86,7.7,76,"163,366",$3.33M
737,Omoide no Mânî,2014,103,7.7,72,"35,136",$0.77M
738,The Theory of Everything,2014,123,7.7,72,"416,947",$35.89M
739,Kingsman: The Secret Service,2014,129,7.7,60,"606,285",$128.26M
740,The Fault in Our Stars,2014,126,7.7,69,"351,964",$124.87M
741,Me and Earl and the Dying Girl,2015,105,7.7,74,"125,791",$6.74M
742,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87,"593,652",$42.34M
743,Le passé,2013,130,7.7,85,"45,885",$1.33M
744,La vie d'Adèle,2013,180,7.7,89,"142,251",$2.20M
745,The Broken Circle Breakdown,2012,111,7.7,70,"40,008",$0.18M
746,Toy Story 4,2019,100,7.7,84,"215,981",$434.04M
747,Captain America: The Winter Soldier,2014,136,7.7,70,"762,303",$259.77M
748,Rockstar,2011,159,7.7,^^,"41,072",$0.99M
749,Nebraska,2013,115,7.7,87,"114,165",$17.65M
750,Wreck-It Ralph,2012,101,7.7,72,"389,712",$189.42M
751,Le Petit Prince,2015,108,7.7,70,"58,337",$1.34M
752,Detachment,2011,98,7.7,52,"79,320",$0.07M
753,Midnight in Paris,2011,94,7.7,81,"397,195",$56.82M
754,Kokuhaku,2010,106,7.7,^^,"36,569",^^
755,The Lego Movie,2014,100,7.7,83,"330,330",$257.76M
756,Gravity,2013,91,7.7,96,"782,923",$274.09M
757,Star Trek Into Darkness,2013,132,7.7,72,"468,125",$228.78M
758,Beasts of No Nation,2015,137,7.7,79,"76,098",$0.08M
759,The Social Network,2010,120,7.7,95,"644,067",$96.96M
760,X: First Class,2011,131,7.7,65,"656,364",$146.41M
761,The Hangover,2009,100,7.7,73,"732,440",$277.32M
762,Skyfall,2012,143,7.7,81,"641,323",$304.36M
763,Silver Linings Playbook,2012,122,7.7,81,"674,007",$132.09M
764,Argo,2012,120,7.7,86,"584,332",$136.03M
765,(500) Days of Summer,2009,95,7.7,76,"482,149",$32.39M
766,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,65,"494,245",$295.98M
767,Gake no ue no Ponyo,2008,101,7.7,86,"130,310",$15.09M
768,Frost/Nixon,2008,122,7.7,80,"104,637",$18.59M
769,Papurika,2006,90,7.7,81,"74,504",$0.88M
770,Changeling,2008,141,7.7,63,"243,824",$35.74M
771,Flipped,I 2010,90,7.7,45,"84,609",$1.75M
772,Toki o kakeru shôjo,2006,98,7.7,^^,"62,112",^^
773,Death Note: Desu nôto,2006,126,7.7,^^,"29,156",^^
774,This Is England,2006,101,7.7,86,"117,345",$0.33M
775,Ex Machina,2014,108,7.7,78,"491,799",$25.44M
776,Efter brylluppet,2006,120,7.7,78,"33,050",$0.41M
777,The Last King of Scotland,2006,123,7.7,74,"178,507",$17.61M
778,Zodiac,2007,157,7.7,78,"485,319",$33.08M
779,Lucky Number Slevin,2006,110,7.7,53,"303,197",$22.49M
780,Joyeux Noël,2005,116,7.7,70,"28,327",$1.05M
781,Control,2007,122,7.7,78,"62,565",$0.87M
782,Tangled,2010,100,7.7,71,"416,517",$200.82M
783,Zwartboek,2006,145,7.7,71,"73,812",$4.40M
784,Brokeback Mountain,2005,134,7.7,87,"333,082",$83.04M
785,3:10 to Yuma,2007,122,7.7,76,"294,656",$53.61M
786,Crash,I 2004,112,7.7,66,"424,114",$54.58M
787,Kung fu,2004,99,7.7,78,"130,360",$17.11M
788,The Bourne Supremacy,2004,108,7.7,73,"442,186",$176.24M
789,The Machinist,2004,101,7.7,61,"365,838",$1.08M
790,Ray,I 2004,152,7.7,73,"140,978",$75.33M
791,Lost in Translation,2003,102,7.7,89,"425,756",$44.59M
792,Harry Potter and the Goblet of Fire,2005,157,7.7,81,"564,896",$290.01M
793,Man on Fire,2004,146,7.7,47,"336,040",$77.91M
794,Coraline,2009,100,7.7,80,"203,962",$75.29M
795,The Last Samurai,2003,154,7.7,55,"408,510",$111.11M
796,The Magdalene Sisters,2002,114,7.7,83,"26,322",$4.89M
797,Finding Neverland,2004,106,7.7,67,"200,887",$51.68M
798,Good Bye Lenin!,2003,121,7.7,68,"140,263",$4.06M
799,In America,2002,105,7.7,76,"40,778",$15.54M
800,Adaptation.,2002,115,7.7,83,"182,332",$22.25M
801,Black Hawk Down,2001,144,7.7,74,"371,996",$108.64M
802,Road to Perdition,2002,117,7.7,72,"253,008",$104.45M
803,Das Experiment,2001,120,7.7,60,"91,705",$0.14M
804,Billy Elliot,2000,110,7.7,74,"128,944",$22.00M
805,Hedwig and the Angry Inch,2001,95,7.7,85,"32,581",$3.03M
806,The Count of Monte Cristo,2002,131,7.7,61,"131,465",$54.23M
807,Ocean's Eleven,2001,116,7.7,74,"530,402",$183.42M
808,Vampire Hunter D: Bloodlust,2000,103,7.7,62,"29,953",$0.15M
809,"O Brother, Where Art Thou?",2000,107,7.7,69,"294,736",$45.51M
810,Interstate 60: Episodes of the Road,2002,116,7.7,^^,"30,617",^^
811,"South Park: Bigger, Longer & Uncut",1999,81,7.7,73,"194,783",$52.04M
812,Office Space,1999,89,7.7,68,"248,067",$10.82M
813,Happiness,1998,134,7.7,81,"67,440",$2.81M
814,Training Day,2001,122,7.7,69,"403,013",$76.63M
815,Lola rennt,1998,81,7.7,77,"190,747",$7.27M
816,Rushmore,1998,93,7.7,86,"173,524",$17.11M
817,Abre los ojos,1997,119,7.7,^^,"65,216",$0.37M
818,Being John Malkovich,1999,113,7.7,90,"318,586",$22.86M
819,As Good as It Gets,1997,139,7.7,67,"281,846",$148.48M
820,The Fifth Element,1997,126,7.7,52,"443,533",$63.54M
821,Le dîner de cons,1998,80,7.7,73,"38,180",$4.07M
822,Donnie Brasco,1997,127,7.7,76,"287,060",$41.91M
823,Shine,1996,105,7.7,87,"52,180",$35.81M
824,Primal Fear,1996,129,7.7,47,"195,441",$56.12M
825,Hamlet,1996,242,7.7,^^,"36,505",$4.41M
826,Sense and Sensibility,1995,136,7.7,84,"105,854",$43.18M
827,A Little Princess,1995,97,7.7,83,"32,860",$10.02M
828,Do lok tin si,1995,99,7.7,71,"29,593",^^
829,Il postino,1994,108,7.7,81,"34,461",$21.85M
830,Clerks,1994,92,7.7,70,"214,159",$3.15M
831,What's Eating Gilbert Grape,1993,118,7.7,73,"220,879",$9.17M
832,Short Cuts,1993,188,7.7,79,"42,982",$6.11M
833,Philadelphia,1993,125,7.7,66,"229,269",$77.32M
834,The Muppet Christmas Carol,1992,85,7.7,64,"51,028",$27.28M
835,Malcolm X,1992,202,7.7,73,"88,490",$48.17M
836,The Last of the Mohicans,1992,112,7.7,76,"155,902",$75.51M
837,Kurenai no buta,1992,94,7.7,83,"81,249",^^
838,Glengarry Glen Ross,1992,100,7.7,82,"98,009",$10.73M
839,A Few Good Men,1992,138,7.7,62,"242,111",$141.34M
840,Night on Earth,1991,129,7.7,68,"56,876",$2.02M
841,Fried Green Tomatoes,1991,130,7.7,64,"69,114",$82.42M
842,Barton Fink,1991,116,7.7,69,"115,481",$6.15M
843,Miller's Crossing,1990,115,7.7,66,"128,167",$5.08M
844,Who Framed Roger Rabbit,1988,104,7.7,83,"186,364",$156.45M
845,Spoorloos,1988,107,7.7,^^,"34,892",^^
846,The Last Emperor,1987,163,7.7,76,"97,021",$43.98M
847,Evil Dead II,1987,84,7.7,72,"151,426",$5.92M
848,Empire of the Sun,1987,153,7.7,62,"118,477",$22.24M
849,Der Name der Rose,1986,130,7.7,54,"103,983",$7.15M
850,Down by Law,1986,107,7.7,75,"48,993",$1.44M
851,Blue Velvet,1986,120,7.7,76,"185,903",$8.55M
